state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes
Maharashtra,Ahmednagar,Kopargaon,Onion,Red,2026-06-15,1774.59,2123.68,1987.83,139.0
Maharashtra,Ahmednagar,Kopargaon,Tomato,Hybrid,2026-06-15,1599.08,1868.64,1733.26,131.5
Maharashtra,Ahmednagar,Kopargaon,Soybean,Yellow,2026-06-15,3865.63,4758.14,4158.98,32.3
Maharashtra,Ahmednagar,Kopargaon,Wheat,Sharbati,2026-06-15,2403.96,2850.61,2645.86,54.2
Madhya Pradesh,Indore,Indore Mandi,Onion,Red,2026-06-15,2004.04,2318.0,2172.34,123.9
Madhya Pradesh,Indore,Indore Mandi,Tomato,Hybrid,2026-06-15,1821.69,2093.06,1949.86,165.4
Madhya Pradesh,Indore,Indore Mandi,Soybean,Yellow,2026-06-15,4263.9,5074.62,4667.09,124.8
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2026-06-15,2634.29,3120.54,2885.51,110.5
Maharashtra,Jalgaon,Jalgaon Main,Onion,Red,2026-06-15,1779.5,2147.44,1976.23,131.0
Maharashtra,Jalgaon,Jalgaon Main,Tomato,Hybrid,2026-06-15,1638.73,1883.63,1754.35,132.5
Maharashtra,Jalgaon,Jalgaon Main,Soybean,Yellow,2026-06-15,4069.46,4908.41,4288.4,97.3
Maharashtra,Jalgaon,Jalgaon Main,Wheat,Sharbati,2026-06-15,2509.05,2937.65,2697.06,68.1
Maharashtra,Nandurbar,Nandurbar APMC,Onion,Red,2026-06-15,1862.1,2294.2,2082.94,112.1
Maharashtra,Nandurbar,Nandurbar APMC,Tomato,Hybrid,2026-06-15,1709.49,1969.42,1808.91,184.7
Maharashtra,Nandurbar,Nandurbar APMC,Soybean,Yellow,2026-06-15,3895.51,4591.64,4191.81,111.7
Maharashtra,Nandurbar,Nandurbar APMC,Wheat,Sharbati,2026-06-15,2383.75,2914.99,2615.12,151.0
Maharashtra,Nashik,Lasalgaon,Onion,Red,2026-06-15,1826.91,2177.33,1961.8,115.2
Maharashtra,Nashik,Lasalgaon,Tomato,Hybrid,2026-06-15,1537.43,1833.2,1740.12,257.4
Maharashtra,Nashik,Lasalgaon,Soybean,Yellow,2026-06-15,3532.79,4306.0,3998.7,96.0
Maharashtra,Nashik,Lasalgaon,Wheat,Sharbati,2026-06-15,2373.11,2855.21,2523.81,126.7
Maharashtra,Nashik,Pimpalgaon,Onion,Red,2026-06-15,1732.72,2227.71,1959.95,111.8
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,2026-06-15,1485.74,1687.26,1582.69,180.4
Maharashtra,Nashik,Pimpalgaon,Soybean,Yellow,2026-06-15,3930.3,4526.63,4154.29,193.4
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,2026-06-15,2364.42,2848.81,2582.23,106.8
Maharashtra,Pune,Pune(Gultekdi),Onion,Red,2026-06-15,2082.62,2710.05,2362.75,146.9
Maharashtra,Pune,Pune(Gultekdi),Tomato,Hybrid,2026-06-15,1788.4,2104.22,1994.59,105.2
Maharashtra,Pune,Pune(Gultekdi),Soybean,Yellow,2026-06-15,4348.34,5112.24,4747.72,188.0
Maharashtra,Pune,Pune(Gultekdi),Wheat,Sharbati,2026-06-15,2697.64,3140.74,2978.26,111.8
Maharashtra,Solapur,Solapur Mandi,Onion,Red,2026-06-15,1962.94,2327.15,2156.52,53.0
Maharashtra,Solapur,Solapur Mandi,Tomato,Hybrid,2026-06-15,1737.21,2021.34,1855.79,80.4
Maharashtra,Solapur,Solapur Mandi,Soybean,Yellow,2026-06-15,4094.94,4944.17,4476.61,116.3
Maharashtra,Solapur,Solapur Mandi,Wheat,Sharbati,2026-06-15,2667.93,3042.17,2809.14,111.6
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Red,2026-06-15,1934.63,2280.98,2084.96,109.8
Madhya Pradesh,Ujjain,Ujjain APMC,Tomato,Hybrid,2026-06-15,1756.21,2070.41,1853.9,117.8
Madhya Pradesh,Ujjain,Ujjain APMC,Soybean,Yellow,2026-06-15,4066.11,5189.83,4552.12,111.9
Madhya Pradesh,Ujjain,Ujjain APMC,Wheat,Sharbati,2026-06-15,2602.8,3211.41,2795.12,138.9
Maharashtra,Ahmednagar,Kopargaon,Onion,Red,2026-06-16,1836.76,2216.89,2072.64,126.0
Maharashtra,Ahmednagar,Kopargaon,Tomato,Hybrid,2026-06-16,1762.98,2007.9,1857.12,171.5
Maharashtra,Ahmednagar,Kopargaon,Soybean,Yellow,2026-06-16,3712.89,4805.67,4187.63,161.9
Maharashtra,Ahmednagar,Kopargaon,Wheat,Sharbati,2026-06-16,2431.04,3006.63,2642.82,104.1
Madhya Pradesh,Indore,Indore Mandi,Onion,Red,2026-06-16,1917.37,2464.36,2177.87,141.4
Madhya Pradesh,Indore,Indore Mandi,Tomato,Hybrid,2026-06-16,1766.51,2274.88,1983.66,79.8
Madhya Pradesh,Indore,Indore Mandi,Soybean,Yellow,2026-06-16,4122.35,4879.16,4552.81,170.6
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2026-06-16,2597.28,3216.5,2877.3,153.5
Maharashtra,Jalgaon,Jalgaon Main,Onion,Red,2026-06-16,1818.96,2232.63,2021.82,157.0
Maharashtra,Jalgaon,Jalgaon Main,Tomato,Hybrid,2026-06-16,1782.07,2014.07,1884.82,103.7
Maharashtra,Jalgaon,Jalgaon Main,Soybean,Yellow,2026-06-16,3852.21,4523.25,4282.73,167.7
Maharashtra,Jalgaon,Jalgaon Main,Wheat,Sharbati,2026-06-16,2406.17,2957.13,2655.89,143.0
Maharashtra,Nandurbar,Nandurbar APMC,Onion,Red,2026-06-16,1794.03,2327.99,2026.65,106.5
Maharashtra,Nandurbar,Nandurbar APMC,Tomato,Hybrid,2026-06-16,1610.17,1928.65,1820.79,113.3
Maharashtra,Nandurbar,Nandurbar APMC,Soybean,Yellow,2026-06-16,3665.76,4637.4,4144.01,148.7
Maharashtra,Nandurbar,Nandurbar APMC,Wheat,Sharbati,2026-06-16,2378.37,2962.34,2609.7,160.0
Maharashtra,Nashik,Lasalgaon,Onion,Red,2026-06-16,1714.53,2216.84,1943.01,83.0
Maharashtra,Nashik,Lasalgaon,Tomato,Hybrid,2026-06-16,1576.2,1909.35,1708.06,127.5
Maharashtra,Nashik,Lasalgaon,Soybean,Yellow,2026-06-16,3636.56,4552.72,4100.01,170.5
Maharashtra,Nashik,Lasalgaon,Wheat,Sharbati,2026-06-16,2377.41,2765.86,2546.32,106.9
Maharashtra,Nashik,Pimpalgaon,Onion,Red,2026-06-16,1835.59,2243.06,2035.43,77.3
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,2026-06-16,1721.59,2071.22,1819.28,104.1
Maharashtra,Nashik,Pimpalgaon,Soybean,Yellow,2026-06-16,3727.83,4285.08,4046.64,143.9
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,2026-06-16,2412.09,2845.33,2579.08,130.3
Maharashtra,Pune,Pune(Gultekdi),Onion,Red,2026-06-16,2087.38,2482.99,2202.18,126.9
Maharashtra,Pune,Pune(Gultekdi),Tomato,Hybrid,2026-06-16,1753.23,2233.81,1948.65,153.4
Maharashtra,Pune,Pune(Gultekdi),Soybean,Yellow,2026-06-16,4471.44,5211.2,4711.26,110.7
Maharashtra,Pune,Pune(Gultekdi),Wheat,Sharbati,2026-06-16,2769.24,3206.47,2994.05,74.7
Maharashtra,Solapur,Solapur Mandi,Onion,Red,2026-06-16,1948.83,2313.86,2148.16,109.5
Maharashtra,Solapur,Solapur Mandi,Tomato,Hybrid,2026-06-16,1692.7,1999.49,1858.08,112.0
Maharashtra,Solapur,Solapur Mandi,Soybean,Yellow,2026-06-16,4139.59,4707.55,4472.86,61.4
Maharashtra,Solapur,Solapur Mandi,Wheat,Sharbati,2026-06-16,2621.46,3074.4,2810.42,147.3
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Red,2026-06-16,2050.88,2321.88,2195.83,152.6
Madhya Pradesh,Ujjain,Ujjain APMC,Tomato,Hybrid,2026-06-16,1696.83,2074.73,1891.11,15.3
Madhya Pradesh,Ujjain,Ujjain APMC,Soybean,Yellow,2026-06-16,4063.58,4889.86,4466.98,78.1
Madhya Pradesh,Ujjain,Ujjain APMC,Wheat,Sharbati,2026-06-16,2486.65,3143.83,2757.75,127.9
Maharashtra,Ahmednagar,Kopargaon,Onion,Red,2026-06-17,1924.65,2281.17,2062.3,97.4
Maharashtra,Ahmednagar,Kopargaon,Tomato,Hybrid,2026-06-17,1608.21,2002.27,1767.08,83.0
Maharashtra,Ahmednagar,Kopargaon,Soybean,Yellow,2026-06-17,3682.53,4487.58,4151.46,101.9
Maharashtra,Ahmednagar,Kopargaon,Wheat,Sharbati,2026-06-17,2495.51,2817.2,2637.92,151.4
Madhya Pradesh,Indore,Indore Mandi,Onion,Red,2026-06-17,2063.49,2469.02,2183.4,102.4
Madhya Pradesh,Indore,Indore Mandi,Tomato,Hybrid,2026-06-17,1890.78,2232.02,2016.9,127.0
Madhya Pradesh,Indore,Indore Mandi,Soybean,Yellow,2026-06-17,4102.35,5140.54,4612.52,127.3
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2026-06-17,2742.29,3205.09,2899.35,131.6
Maharashtra,Jalgaon,Jalgaon Main,Onion,Red,2026-06-17,1864.52,2275.56,2067.08,109.5
Maharashtra,Jalgaon,Jalgaon Main,Tomato,Hybrid,2026-06-17,1550.48,1839.24,1682.15,117.6
Maharashtra,Jalgaon,Jalgaon Main,Soybean,Yellow,2026-06-17,3757.35,4857.18,4261.9,99.0
Maharashtra,Jalgaon,Jalgaon Main,Wheat,Sharbati,2026-06-17,2425.3,2963.41,2685.72,142.2
Maharashtra,Nandurbar,Nandurbar APMC,Onion,Red,2026-06-17,1823.06,2258.05,2006.17,132.5
Maharashtra,Nandurbar,Nandurbar APMC,Tomato,Hybrid,2026-06-17,1678.22,2085.16,1856.28,123.7
Maharashtra,Nandurbar,Nandurbar APMC,Soybean,Yellow,2026-06-17,3751.16,4431.57,4169.94,95.6
Maharashtra,Nandurbar,Nandurbar APMC,Wheat,Sharbati,2026-06-17,2444.57,2920.36,2603.28,119.0
Maharashtra,Nashik,Lasalgaon,Onion,Red,2026-06-17,1791.7,2119.23,1905.22,109.2
Maharashtra,Nashik,Lasalgaon,Tomato,Hybrid,2026-06-17,1699.43,2018.3,1821.92,147.2
Maharashtra,Nashik,Lasalgaon,Soybean,Yellow,2026-06-17,3740.47,4519.58,4092.56,100.9
Maharashtra,Nashik,Lasalgaon,Wheat,Sharbati,2026-06-17,2248.88,2850.15,2551.44,95.1
Maharashtra,Nashik,Pimpalgaon,Onion,Red,2026-06-17,1775.89,2131.85,1969.34,113.5
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,2026-06-17,1542.02,1933.03,1697.94,181.2
Maharashtra,Nashik,Pimpalgaon,Soybean,Yellow,2026-06-17,3646.12,4614.83,4115.2,100.2
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,2026-06-17,2398.64,2896.18,2550.74,105.2
Maharashtra,Pune,Pune(Gultekdi),Onion,Red,2026-06-17,2208.7,2572.36,2344.43,167.5
Maharashtra,Pune,Pune(Gultekdi),Tomato,Hybrid,2026-06-17,1903.91,2264.03,2117.77,81.3
Maharashtra,Pune,Pune(Gultekdi),Soybean,Yellow,2026-06-17,4350.58,5234.05,4794.94,85.7
Maharashtra,Pune,Pune(Gultekdi),Wheat,Sharbati,2026-06-17,2699.57,3253.4,2980.49,110.3
Maharashtra,Solapur,Solapur Mandi,Onion,Red,2026-06-17,1985.33,2366.89,2165.99,174.8
Maharashtra,Solapur,Solapur Mandi,Tomato,Hybrid,2026-06-17,1784.98,2099.45,1946.11,100.0
Maharashtra,Solapur,Solapur Mandi,Soybean,Yellow,2026-06-17,4099.81,4992.5,4555.16,163.0
Maharashtra,Solapur,Solapur Mandi,Wheat,Sharbati,2026-06-17,2548.3,3072.97,2838.84,161.6
Madhya Pradesh,Ujjain,Ujjain APMC,Onion,Red,2026-06-17,2061.46,2352.98,2201.81,131.5
Madhya Pradesh,Ujjain,Ujjain APMC,Tomato,Hybrid,2026-06-17,1775.79,2117.49,1955.79,130.1
