state,division,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes,capacity_tonnes,active_traders,source
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Onion,Red/Nashik,2026-06-16,1913.21,2203.18,2065.49,226.6,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Tomato,Hybrid,2026-06-16,1583.15,1992.82,1786.64,241.5,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Soybean,Yellow,2026-06-16,3977.58,4851.27,4251.72,281.5,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Cotton,Medium Staple,2026-06-16,5912.42,7244.5,6538.43,285.3,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Tur,White/Deshi,2026-06-16,7968.52,9746.21,8847.85,141.3,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Wheat,Lokwan,2026-06-16,2281.36,2924.76,2562.88,161.3,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Maize,Yellow,2026-06-16,1849.95,2347.47,2065.16,153.5,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Chana,Deshi Gram,2026-06-16,5104.31,6175.72,5621.91,120.4,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Kopargaon APMC,Banana,Grand Naine,2026-06-16,1355.89,1698.19,1529.29,152.9,3900,65,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Onion,Red/Nashik,2026-06-16,1727.66,2224.29,1962.51,210.6,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Tomato,Hybrid,2026-06-16,1629.83,1921.05,1738.82,179.8,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Soybean,Yellow,2026-06-16,3776.2,4815.67,4213.9,163.1,4800,82,Agmarknet & MSAMB
